min_ratings,n_factors,n_epochs,trainset,average_error
5,20,5,"('random', 0.7)",1.3904566899977926
5,20,5,"('random', 0.6)",1.3770543285492414
5,20,5,"('rows', 2)",1.3033301010395257
5,20,5,"('rows', 4)",1.2101423155966016
5,20,5,"('rows', 6)",1.3858117798927851
5,20,5,"('cols', 2)",1.2243209889940037
5,20,5,"('cols', 4)",1.3238585809690815
5,20,5,"('cols', 6)",1.3245698063623395
5,20,10,"('random', 0.9)",1.4419088768871333
5,20,10,"('random', 0.8)",1.435730231277601
5,20,10,"('random', 0.7)",1.4337880991785212
5,20,10,"('random', 0.6)",1.431447333522618
5,20,10,"('rows', 2)",1.3015849153838637
5,20,10,"('rows', 4)",1.2070523269235178
5,20,10,"('rows', 6)",1.388212263017576
5,20,10,"('cols', 2)",1.230784779809759
5,20,10,"('cols', 4)",1.3327075791569698
5,20,10,"('cols', 6)",1.3312116917103207
5,20,15,"('random', 0.9)",1.5719543290157791
5,20,15,"('random', 0.8)",1.5162767267428243
5,20,15,"('random', 0.7)",1.4976938989325153
5,20,15,"('random', 0.6)",1.5004372649545654
5,20,15,"('rows', 2)",1.3004210602201451
5,20,15,"('rows', 4)",1.206772999165673
5,20,15,"('rows', 6)",1.3904367911164144
5,20,15,"('cols', 2)",1.2303657509692265
5,20,15,"('cols', 4)",1.3322139314441204
5,20,15,"('cols', 6)",1.331447428000759
5,20,20,"('random', 0.9)",1.6397928858132456
5,20,20,"('random', 0.8)",1.56815742577375
5,20,20,"('random', 0.7)",1.541484346171222
5,20,20,"('random', 0.6)",1.5509724625560037
5,20,20,"('rows', 2)",1.3017484981277196
5,20,20,"('rows', 4)",1.2082789860315855
5,20,20,"('rows', 6)",1.3917310501488378
5,20,20,"('cols', 2)",1.2315957767688268
5,20,20,"('cols', 4)",1.328479002151848
5,20,20,"('cols', 6)",1.3297473933721717
5,20,25,"('random', 0.9)",1.676229322247669
5,20,25,"('random', 0.8)",1.604234281030579
5,20,25,"('random', 0.7)",1.5695310967549971
5,20,25,"('random', 0.6)",1.5861229319684813
5,20,25,"('rows', 2)",1.3044219696572679
5,20,25,"('rows', 4)",1.2110718551387354
5,20,25,"('rows', 6)",1.3930931189252143
5,20,25,"('cols', 2)",1.233988236068578
5,20,25,"('cols', 4)",1.324959267040893
5,20,25,"('cols', 6)",1.3284120154057295
5,20,30,"('random', 0.9)",1.7102479781435518
5,20,30,"('random', 0.8)",1.6364342027041978
5,20,30,"('random', 0.7)",1.5934174342031484
5,20,30,"('random', 0.6)",1.614138114042883
5,20,30,"('rows', 2)",1.3069031282856225
5,20,30,"('rows', 4)",1.21406234849366
5,20,30,"('rows', 6)",1.394564240929367
5,20,30,"('cols', 2)",1.2361273033488138
5,20,30,"('cols', 4)",1.3226125473182284
5,20,30,"('cols', 6)",1.3277712023213126
5,40,5,"('random', 0.9)",1.3768173322174573
5,40,5,"('random', 0.8)",1.4104616180855236
5,40,5,"('random', 0.7)",1.3868050085421004
5,40,5,"('random', 0.6)",1.363602337849813
5,40,5,"('rows', 2)",1.3109538579325435
5,40,5,"('rows', 4)",1.2111642690543751
5,40,5,"('rows', 6)",1.3858049856891144
5,40,5,"('cols', 2)",1.2258791688209383
5,40,5,"('cols', 4)",1.3264843164376339
5,40,5,"('cols', 6)",1.3235718174621707
5,40,10,"('random', 0.9)",1.4873185309423895
5,40,10,"('random', 0.8)",1.499725807053867
5,40,10,"('random', 0.7)",1.45910481111659
5,40,10,"('random', 0.6)",1.4203372114427637
5,40,10,"('rows', 2)",1.3134652702916936
5,40,10,"('rows', 4)",1.2082707374714843
5,40,10,"('rows', 6)",1.3875540045618082
5,40,10,"('cols', 2)",1.2306476517809097
5,40,10,"('cols', 4)",1.3378527374814324
5,40,10,"('cols', 6)",1.3270989957349009
5,40,15,"('random', 0.9)",1.538003284237693
5,40,15,"('random', 0.8)",1.5617342267230152
5,40,15,"('random', 0.7)",1.5141678927726583
5,40,15,"('random', 0.6)",1.4724751165505294
5,40,15,"('rows', 2)",1.315967968535677
5,40,15,"('rows', 4)",1.208908585867342
5,40,15,"('rows', 6)",1.3902954122071272
5,40,15,"('cols', 2)",1.231275979736539
5,40,15,"('cols', 4)",1.338983811944237
5,40,15,"('cols', 6)",1.3268453244772296
5,40,20,"('random', 0.9)",1.5727278297926481
5,40,20,"('random', 0.8)",1.6004134852622236
5,40,20,"('random', 0.7)",1.5435086556906732
5,40,20,"('random', 0.6)",1.5129958909744332
